"","price","sqft_living","grade","sqft_above","bathrooms","sqft_basement","bedrooms","floors","waterfront","howOld","view","sqft_living15","zipcode","yr_renovated"
"1",221900,1180,7,1180,"1",0,"3","1","0",60,0,1340,"98178",0
"2",538000,2570,7,2170,"2.25",400,"3","2","0",24,0,1690,"98125",1991
"3",180000,770,6,770,"1",0,"2","1","0",82,0,2720,"98028",0
"4",604000,1960,7,1050,"3",910,"4","1","0",50,0,1360,"98136",0
"5",510000,1680,8,1680,"2",0,"3","1","0",28,0,1800,"98074",0
"6",1225000,5420,11,3890,"4.5",1530,"4","1","0",14,0,4760,"98053",0
"7",257500,1715,7,1715,"2.25",0,"3","2","0",20,0,2238,"98003",0
"8",291850,1060,7,1060,"1.5",0,"3","1","0",52,0,1650,"98198",0
"9",229500,1780,7,1050,"1",730,"3","1","0",55,0,1780,"98146",0
"10",323000,1890,7,1890,"2.5",0,"3","2","0",12,0,2390,"98038",0
"11",662500,3560,8,1860,"2.5",1700,"3","1","0",50,0,2210,"98007",0
"12",468000,1160,7,860,"1",300,"2","1","0",73,0,1330,"98115",0
"13",310000,1430,7,1430,"1",0,"3","1.5","0",88,0,1780,"98028",0
"14",4e+05,1370,7,1370,"1.75",0,"3","1","0",38,0,1370,"98074",0
"15",530000,1810,7,1810,"2",0,"5","1.5","0",115,0,1360,"98107",0
"16",650000,2950,9,1980,"3",970,"4","2","0",36,3,2140,"98126",0
"17",395000,1890,7,1890,"2",0,"3","2","0",21,0,1890,"98019",0
"18",485000,1600,7,1600,"1",0,"4","1.5","0",99,0,1610,"98103",0
"19",189000,1200,7,1200,"1",0,"2","1","0",94,0,1060,"98002",0
"20",230000,1250,7,1250,"1",0,"3","1","0",46,0,1280,"98003",0
"21",385000,1620,7,860,"1.75",760,"4","1","0",68,0,1400,"98133",0
"22",2e+06,3050,9,2330,"2.75",720,"3","1","0",47,4,4110,"98040",0
"23",285000,2270,8,2270,"2.5",0,"5","2","0",20,0,2240,"98092",0
"24",252700,1070,7,1070,"1.5",0,"2","1","0",30,0,1220,"98030",0
"25",329000,2450,8,2450,"2.25",0,"3","2","0",30,0,2200,"98030",0
"26",233000,1710,6,1710,"2",0,"3","1.5","0",74,0,1030,"98002",0
"27",937000,2450,8,1750,"1.75",700,"3","2","0",100,0,1760,"98119",0
"28",667000,1400,8,1400,"1",0,"3","1.5","0",106,0,1860,"98112",0
"29",438000,1520,7,790,"1.75",730,"3","1","0",67,0,1520,"98115",0
"30",719000,2570,8,2570,"2.5",0,"4","2","0",10,0,2630,"98052",0
"31",580500,2320,8,2320,"2.5",0,"3","2","0",12,0,2580,"98027",0
"32",280000,1190,7,1190,"1.5",0,"2","3","0",10,0,1390,"98133",0
"33",687500,2330,7,1510,"1.75",820,"4","1.5","0",86,0,1460,"98117",0
"34",535000,1090,8,1090,"1",0,"3","1.5","0",86,0,1570,"98117",0
"35",322500,2060,7,1280,"2.75",780,"4","1","0",34,0,2020,"98058",0
"36",696000,2300,8,1510,"2.5",790,"3","1.5","0",13,0,1590,"98115",2002
"37",550000,1660,5,930,"1",730,"4","1","0",82,0,2160,"98052",0
"38",640000,2360,8,2360,"2",0,"4","2","0",111,0,1730,"98107",0
"39",240000,1220,7,890,"1",330,"4","1","0",46,0,1290,"98001",0
"40",605000,2620,8,2620,"2.5",0,"4","2","0",19,0,2620,"98056",0
"41",625000,2570,9,2570,"2.5",0,"4","2","0",15,0,2470,"98074",0
"42",775000,4220,8,2600,"2.25",1620,"4","1","0",31,0,2410,"98166",0
"43",861990,3595,9,3595,"2.75",0,"5","2","0",1,0,3625,"98053",0
"44",685000,1570,7,1570,"1",0,"3","2","0",93,0,1580,"98119",0
"45",309000,1280,6,920,"1",360,"3","1","0",56,0,1340,"98058",0
"46",488000,3160,8,3160,"2.5",0,"3","2","0",12,0,3050,"98019",0
"47",210490,990,6,990,"1",0,"3","1","0",49,0,1228,"98023",0
"48",785000,2290,9,2290,"2.5",0,"4","2","0",34,0,2680,"98007",0
"49",450000,1250,7,1250,"1.75",0,"3","1","0",62,0,970,"98115",0
"50",1350000,2753,9,2165,"2.5",588,"3","1","1",62,2,2680,"98070",0
"51",228000,1190,7,1190,"1",0,"3","1","0",60,0,1190,"98148",0
"52",345000,3150,8,1640,"2.5",1510,"5","1","0",49,0,1990,"98056",0
"53",6e+05,1410,7,1000,"1.75",410,"3","1","0",65,0,1410,"98117",0
"54",585000,1980,7,990,"1.75",990,"2","1","0",34,0,1480,"98117",0
"55",920000,2730,8,2130,"2.25",600,"5","1.5","0",88,0,2730,"98105",0
"56",885000,2830,9,2830,"2.5",0,"4","2","0",20,0,1950,"98105",0
"57",292500,2250,7,2250,"2.5",0,"4","2","0",7,0,2250,"98042",0
"58",301000,2420,8,2420,"2.5",0,"3","2","0",12,0,2690,"98042",0
"59",951000,3250,8,3250,"3.25",0,"5","2","0",47,4,2960,"98008",0
"60",430000,1850,8,1850,"3",0,"4","2","0",24,0,2270,"98059",0
"61",650000,2150,8,1590,"2.25",560,"3","1","0",56,3,2570,"98166",0
"62",289000,1260,7,1260,"1.75",0,"3","1","0",61,0,1290,"98148",0
"63",505000,2519,8,2519,"1.75",0,"3","2","0",42,0,2500,"98166",0
"64",549000,1540,8,1540,"1.75",0,"3","3","0",1,0,1580,"98115",0
"65",425000,1660,7,1110,"2.25",550,"3","1","0",36,0,1440,"98122",0
"66",317625,2770,7,1770,"2.75",1000,"3","1.5","0",90,0,1440,"98144",0
"67",975000,2720,10,2720,"2.5",0,"4","2","0",26,0,2750,"98004",0
"68",287000,2240,7,2240,"2.5",0,"4","2","0",10,0,2221,"98001",0
"69",204000,1000,7,1000,"1",0,"3","1","0",47,0,1010,"98042",0
"70",1325000,3200,8,1600,"2.25",1600,"5","1","0",50,0,3390,"98004",0
"71",1040000,4770,11,3070,"3.25",1700,"5","1","0",42,0,3530,"98005",0
"72",325000,1260,7,1260,"2",0,"3","1","0",43,0,1640,"98034",0
"73",571000,2750,7,2250,"2",500,"4","1.5","0",99,0,1510,"98125",0
"74",360000,2380,8,2380,"2.5",0,"4","2","0",10,0,2420,"98038",0
"75",349000,1790,7,1090,"1.75",700,"3","1","0",50,0,1940,"98042",0
"76",832500,3430,10,2390,"4",1040,"4","2","0",29,0,3240,"98075",0
"77",380000,1760,7,880,"1.75",880,"4","1","0",59,0,1680,"98008",0
"78",480000,1040,7,1040,"1",0,"3","1","0",74,0,890,"98116",0
"79",410000,1410,7,910,"1",500,"3","1","0",59,0,1130,"98133",0
"80",720000,3450,10,3450,"2.5",0,"4","2","0",13,0,3350,"98010",0
"81",390000,2350,8,2350,"2.5",0,"3","2","0",12,0,2350,"98038",0
"82",360000,1900,7,1900,"2.5",0,"4","2","0",23,0,1870,"98038",0
"83",355000,2020,7,1010,"1",1010,"2","1","0",67,0,1720,"98118",0
"84",356000,1680,8,1680,"1.5",0,"3","1","0",51,0,1850,"98059",0
"85",315000,960,6,960,"1",0,"3","1","0",63,0,1570,"98125",0
"86",940000,2140,9,1900,"1.5",240,"3","2","0",90,0,2020,"98119",0
"87",305000,2660,7,2660,"2.25",0,"5","1.5","0",54,0,1590,"98092",0
"88",461000,2770,9,1980,"3.25",790,"3","2","0",9,0,1900,"98056",0
"89",215000,1610,7,1610,"2.25",0,"2","2","0",36,0,1950,"98056",0
"90",335000,1030,7,765,"1.75",265,"2","2","0",9,0,1030,"98136",0
"91",243500,1980,7,1980,"2.5",0,"4","2","0",27,0,1980,"98023",0
"92",1099880,3520,10,3520,"2.75",0,"5","2","0",14,0,2520,"98199",0
"93",153000,1200,7,1200,"1",0,"3","1","0",53,0,1350,"98023",0
"94",430000,1580,8,1290,"1.5",290,"3","1","0",76,0,1570,"98117",0
"95",7e+05,1580,8,1290,"1.5",290,"3","1","0",76,0,1570,"98117",0
"96",905000,3300,7,2390,"2.5",910,"4","1","0",24,0,1950,"98040",1991
"97",247500,1960,7,1960,"1.75",0,"3","1","0",48,0,1750,"98032",0
"98",199000,1160,7,1160,"1.5",0,"4","1","0",40,0,1160,"98023",0
"99",314000,1810,7,1210,"1.75",600,"3","1","0",35,0,1650,"98038",0
"100",437500,2320,9,2320,"2.5",0,"3","2","0",23,2,2550,"98045",0
"101",850830,2070,9,1270,"2.5",800,"3","1.5","0",105,0,2200,"98102",0
"102",555000,1980,7,1440,"2",540,"3","1.5","0",86,0,1610,"98117",0
"103",699950,2190,8,2190,"2.25",0,"3","2","0",32,0,2570,"98077",0
"104",1088000,2920,8,2920,"2.5",0,"3","2","0",5,0,2370,"98004",2010
"105",290000,1210,7,1210,"1",0,"3","1","0",61,0,1640,"98058",0
"106",375000,2340,8,1460,"2.5",880,"3","1","0",37,0,2250,"98058",0
