"","x"
"3",228461.897817148
"8",148451.846097519
"11",799511.519259851
"19",237355.588803503
"23",299020.448482519
"24",129118.165315516
"31",549941.596485141
"44",715830.597335077
"57",294855.435595717
"61",622456.583753568
"72",378659.477385687
"73",604874.802234678
"81",421858.899472328
"86",906089.579972371
"88",648052.170130539
"89",319476.67035609
"91",202963.800538588
"92",1043462.01357136
"93",151232.946695829
"94",610096.91027561
"106",404280.56704292
"111",527520.802491658
"117",564114.774286828
"118",105370.89817667
"122",399494.584827117
"123",385796.536867406
"125",795853.147190516
"132",488132.564573756
"133",941759.602312764
"136",177988.878589531
"146",786992.778301872
"153",200254.525515868
"161",298159.070347738
"183",572916.972532331
"185",737830.06684575
"188",478239.801466293
"190",603499.496728076
"195",324099.024523974
"196",235301.530061361
"198",515436.163868507
"199",409358.402149864
"210",413666.066540273
"211",265545.341461743
"212",627851.969286329
"216",142262.850553127
"218",433365.563375917
"220",502983.688588111
"225",313058.46368476
"228",162420.088274015
"233",323676.308459846
"237",401191.176422757
"254",367843.525705714
"256",647021.568679348
"257",428505.908767882
"262",181128.652992296
"266",213634.54884326
"268",508425.719485983
"273",260644.082865087
"276",461985.130475844
"277",451752.749074995
"291",320171.731060271
"296",860181.292522782
"297",190817.555446399
"300",351290.083290585
"315",1379759.07808952
"318",366306.634247865
"322",526036.853281764
"324",174210.565246812
"331",1040232.73899969
"335",1002789.26602741
"337",678076.380734064
"341",602596.90861701
"345",492867.284360406
"346",103310.127586528
"348",221965.422731304
"351",25595.2486231559
"358",540903.344137174
"360",808659.438916675
"369",576866.61897657
"383",372186.223683602
"384",641069.203594941
"386",938308.257000325
"392",643108.23680096
"393",332759.898377976
"395",1350008.43178009
"397",596267.680423648
"400",207771.300916032
"406",641562.022025003
"407",472930.110694415
"408",185223.297456183
"415",531937.312370186
"423",481850.333272632
"426",215638.781224053
"429",374676.156478015
"432",1141946.56367073
"437",1020931.02567346
"441",270477.172460821
"451",1315615.98340655
"457",529728.146277543
"464",418675.616106299
"465",254465.607288291
"468",290383.308087646
"469",405196.432937392
"474",1111814.98226766
"481",465021.042505689
"489",691520.469836283
"492",336254.364100886
"496",744455.280889871
"497",707242.934051534
"500",375767.763043585
"509",683440.412657561
"511",597384.563022101
"513",1028569.92500886
"521",151582.242809809
"525",268513.985200951
"526",956599.144329727
"531",269385.130379468
"532",124508.646348944
"546",996443.307781484
"547",777257.273198869
"559",590933.643963636
"574",769068.528150613
"581",613663.021912653
"587",741938.931735559
"591",447231.960823109
"593",276472.622947879
"595",229684.457097099
"596",201813.044753599
"599",643673.663458322
"619",282664.77900498
"630",639022.502446809
"635",648067.033342373
"636",350091.78795317
"639",362752.983398588
"640",837279.156422578
"642",263276.731846542
"654",511202.255886777
"657",1713628.14527018
"660",961362.006355154
"677",269346.022202567
"680",1077153.96773779
"682",675747.299594937
"683",690955.156607217
"703",582413.791448929
"712",187390.35580373
"717",279244.576746291
"721",245353.661194245
"723",1469397.74580865
"739",1181581.46476806
"745",477120.983367505
"757",1037731.62075444
"758",1264550.25712497
"759",829301.418004992
"760",664859.621075089
"778",593112.811831735
"782",352419.849217293
"785",803969.206824217
"792",708577.241850894
"793",1184522.63088151
"803",445276.540823667
"806",484434.959595816
"817",309778.894357749
"820",200379.984864332
"826",247411.169027002
"841",237337.244407708
"842",326359.960307778
"843",606257.25378684
"847",711139.222897293
"850",247525.930529246
"851",494144.965914276
"854",450638.288473032
"865",287550.576486581
"867",624381.184041518
"868",434044.184824052
"886",1248260.33017773
"902",690827.128489796
"904",330106.985206575
"906",487167.834372148
"911",227240.921077218
"913",190694.185062157
"914",386292.040896609
"917",622044.797786498
"921",209739.370175749
"934",181336.309275233
"935",655980.332111101
"936",1127424.3103118
"939",261449.71202286
"961",646076.815346238
"962",298733.085059318
"963",644786.663591654
"968",550708.541327865
"971",474215.535710382
"974",478009.682212391
"986",407793.995771801
"991",695121.507118919
"992",673165.434725301
"1009",494472.341792496
"1010",398831.337266429
"1019",203431.229333966
"1020",288334.433937411
"1021",768335.129028003
"1025",394004.595881201
"1040",417607.197244673
"1043",625550.273984774
"1044",123683.354306035
"1047",473050.548218926
"1056",1534120.51013381
"1059",506372.168673713
"1060",401424.028376063
"1061",223861.687073407
"1072",348723.087731365
"1078",342686.056111945
"1091",820106.227784459
"1092",376701.700920772
"1100",94631.5454449125
"1102",641620.245559572
"1103",303278.274891532
"1104",130461.634033726
"1113",472076.001231471
"1120",658222.899017676
"1121",161138.088427016
"1122",177763.596709938
"1127",268912.654132993
"1130",405399.037323479
"1140",783777.33488872
"1145",160867.081913752
"1149",794022.567452126
"1151",488652.71333299
"1154",259910.926186082
"1157",490076.151830004
"1158",1221163.46073298
