"","price","sqft_living","grade","sqft_above","bathrooms","sqft_basement","bedrooms","floors","waterfront","howOld","view","sqft_living15","zipcode","yr_renovated"
"3",180000,770,6,770,"1",0,"2","1","0",82,0,2720,"98028",0
"8",291850,1060,7,1060,"1.5",0,"3","1","0",52,0,1650,"98198",0
"11",662500,3560,8,1860,"2.5",1700,"3","1","0",50,0,2210,"98007",0
"19",189000,1200,7,1200,"1",0,"2","1","0",94,0,1060,"98002",0
"23",285000,2270,8,2270,"2.5",0,"5","2","0",20,0,2240,"98092",0
"24",252700,1070,7,1070,"1.5",0,"2","1","0",30,0,1220,"98030",0
"31",580500,2320,8,2320,"2.5",0,"3","2","0",12,0,2580,"98027",0
"44",685000,1570,7,1570,"1",0,"3","2","0",93,0,1580,"98119",0
"57",292500,2250,7,2250,"2.5",0,"4","2","0",7,0,2250,"98042",0
"61",650000,2150,8,1590,"2.25",560,"3","1","0",56,3,2570,"98166",0
"72",325000,1260,7,1260,"2",0,"3","1","0",43,0,1640,"98034",0
"73",571000,2750,7,2250,"2",500,"4","1.5","0",99,0,1510,"98125",0
"81",390000,2350,8,2350,"2.5",0,"3","2","0",12,0,2350,"98038",0
"86",940000,2140,9,1900,"1.5",240,"3","2","0",90,0,2020,"98119",0
"88",461000,2770,9,1980,"3.25",790,"3","2","0",9,0,1900,"98056",0
"89",215000,1610,7,1610,"2.25",0,"2","2","0",36,0,1950,"98056",0
"91",243500,1980,7,1980,"2.5",0,"4","2","0",27,0,1980,"98023",0
"92",1099880,3520,10,3520,"2.75",0,"5","2","0",14,0,2520,"98199",0
"93",153000,1200,7,1200,"1",0,"3","1","0",53,0,1350,"98023",0
"94",430000,1580,8,1290,"1.5",290,"3","1","0",76,0,1570,"98117",0
"106",375000,2340,8,1460,"2.5",880,"3","1","0",37,0,2250,"98058",0
"111",597750,2310,8,2310,"2.5",0,"4","2","0",31,0,1940,"98027",0
"117",518500,1590,8,1590,"3.5",0,"3","3","0",5,0,1620,"98103",0
"118",205425,880,6,880,"1",0,"2","1","0",70,0,1190,"98178",0
"122",391500,1450,7,1450,"2",0,"3","1","0",28,0,1580,"98034",0
"123",395000,770,6,770,"1",0,"2","1","0",62,0,1710,"98117",0
"125",770000,2910,9,2910,"2.25",0,"3","2","0",25,0,2700,"98052",0
"132",660500,2010,8,1440,"2.25",570,"4","1","0",29,0,2060,"98027",0
"133",784000,3950,9,2460,"3.5",1490,"3","1.5","0",26,0,2480,"98052",0
"136",199000,1320,7,1320,"1.75",0,"3","1","0",59,0,1550,"98003",0
"146",921500,3670,9,3670,"2.5",0,"4","2","0",21,0,2840,"98077",0
"153",282950,1250,7,1250,"1",0,"3","1","0",61,0,1680,"98003",0
"161",255000,2060,7,1030,"2.25",1030,"5","1","0",53,0,1010,"98146",0
"183",589000,2440,7,2440,"3",0,"4","2","0",54,0,2290,"98034",0
"185",835000,3130,9,2140,"2.75",990,"4","2","0",22,0,2260,"98052",0
"188",560000,1900,8,1900,"2.5",0,"3","2","0",28,0,2030,"98074",0
"190",585188,2230,8,1430,"2.25",800,"3","1","0",40,0,2230,"98052",0
"195",230000,1060,7,1060,"1",0,"3","1","0",67,0,1570,"98155",0
"196",256883,1690,8,1690,"2.5",0,"3","2","0",12,0,2550,"98023",0
"198",465000,2150,8,2150,"2.5",0,"3","2","0",8,0,1750,"98126",0
"199",440000,1910,7,1910,"2.5",0,"3","2","0",18,0,2330,"98024",0
"210",464000,2300,7,1600,"3",700,"6","2","0",21,0,1560,"98133",1994
"211",320000,1550,8,1550,"2.25",0,"4","2","0",22,0,1630,"98038",0
"212",625504,1270,8,1060,"2.25",210,"3","2","0",1,0,1160,"98105",0
"216",280000,850,6,850,"1",0,"2","1","0",92,0,1100,"98168",0
"218",445838,2250,8,2250,"2.5",0,"3","2","0",15,0,1320,"98146",0
"220",467000,1320,8,1320,"1.5",0,"2","1","0",68,0,2120,"98177",0
"225",328000,2020,7,2020,"2.25",0,"3","2","0",21,0,2020,"98038",0
"228",264950,1720,7,1120,"2.25",600,"4","1","0",37,0,1510,"98023",0
